maSo,hoTen,capBac,donVi,ngaySinh,ngayNhapNgu,chucVu/nhiemVu,loai
B-248,Bui Thanh Lan,Binh nhat,Tieu doan 1,12/05/2001,01/07/2012,Hau can,BinhSi
B-249,Vo Minh Mai,Binh nhat,Tieu doan 2,08/11/1991,03/06/2016,Canh gac,BinhSi
B-250,Tran Quang Duc,Binh nhat,Tieu doan 2,05/01/1996,16/11/2022,Van chuyen,BinhSi
B-251,Vo Phu Duc,Binh nhat,Tieu doan 1,02/07/1987,21/10/2014,Truyen tin,BinhSi
B-252,Ngo Thanh Duc,Binh nhi,Tieu doan 2,22/01/1990,11/10/2023,Hau can,BinhSi
B-253,Le Thanh Hieu,Binh nhat,Tieu doan 1,07/03/1993,28/01/2011,Hau can,BinhSi
B-254,Ngo Kien Anh,Binh nhat,Tieu doan 2,21/08/1997,12/05/2014,Truyen tin,BinhSi
B-255,Vo Duy Hieu,Binh nhat,Trung doan 3,09/11/1998,14/11/2018,Van chuyen,BinhSi
B-256,Pham Tam Quang,Binh nhat,Tieu doan 1,26/06/2003,02/02/2023,Van chuyen,BinhSi
B-257,Vo Son Anh,Binh nhi,Trung doan 3,19/04/1993,01/07/2017,Canh gac,BinhSi
B-258,Le Thi Tu,Binh nhi,Trung doan 3,17/09/1986,11/11/2016,Truyen tin,BinhSi
B-259,Vo Thi Tu,Binh nhat,Tieu doan 2,14/03/1986,22/05/2011,Canh gac,BinhSi
B-260,Le Kien Hieu,Binh nhi,Trung doan 3,07/07/1997,09/09/2016,Canh gac,BinhSi
B-261,Hoang Thi Hieu,Binh nhi,Tieu doan 1,18/01/2003,18/04/2021,Hau can,BinhSi
B-262,Le Anh Anh,Binh nhat,Tieu doan 2,24/09/1989,02/09/2023,Van chuyen,BinhSi
B-263,Vo Quang Anh,Binh nhi,Tieu doan 2,05/12/1994,04/07/2017,Truyen tin,BinhSi
B-264,Vo Kien Duc,Binh nhi,Tieu doan 2,24/05/1995,02/04/2015,Canh gac,BinhSi
B-265,Ngo Minh Mai,Binh nhi,Trung doan 3,21/11/2000,08/09/2020,Van chuyen,BinhSi
B-266,Vo Duy Duc,Binh nhat,Trung doan 3,12/05/1996,07/04/2020,Van chuyen,BinhSi
B-267,Hoang Minh Quang,Binh nhi,Tieu doan 1,20/03/1993,21/03/2012,Hau can,BinhSi
B-268,Nguyen Quang Hieu,Binh nhat,Tieu doan 2,28/01/1989,20/10/2019,Truyen tin,BinhSi
B-269,Pham Duy Mai,Binh nhat,Tieu doan 1,01/06/1991,16/07/2023,Truyen tin,BinhSi
B-270,Le Thanh Mai,Binh nhi,Trung doan 3,13/12/1985,13/08/2012,Canh gac,BinhSi
B-271,Bui Son Hieu,Binh nhi,Tieu doan 2,27/05/2002,26/09/2015,Hau can,BinhSi
B-272,Vo Phu Hieu,Binh nhat,Trung doan 3,02/04/2001,07/07/2011,Van chuyen,BinhSi
B-273,Do Phu Mai,Binh nhi,Trung doan 3,06/03/2003,24/04/2021,Hau can,BinhSi
B-274,Do Thanh Son,Binh nhat,Tieu doan 2,01/08/1998,15/04/2019,Canh gac,BinhSi
B-275,Pham Kien Hieu,Binh nhi,Tieu doan 1,07/07/1996,27/12/2013,Hau can,BinhSi
B-276,Do Quang Anh,Binh nhi,Tieu doan 1,26/11/1990,02/05/2023,Truyen tin,BinhSi
B-277,Tran Kien Anh,Binh nhi,Tieu doan 1,11/09/2003,24/07/2018,Van chuyen,BinhSi
B-278,Pham Quang Tu,Binh nhi,Trung doan 3,20/07/1986,04/11/2016,Canh gac,BinhSi
B-279,Ngo Anh Mai,Binh nhi,Tieu doan 1,17/10/1987,07/02/2020,Van chuyen,BinhSi
B-280,Nguyen Minh Mai,Binh nhat,Trung doan 3,25/05/1987,27/08/2014,Van chuyen,BinhSi
B-281,Bui Anh Mai,Binh nhi,Trung doan 3,23/02/1985,10/12/2015,Truyen tin,BinhSi
B-282,Bui Minh Mai,Binh nhi,Tieu doan 2,17/03/2003,15/04/2020,Hau can,BinhSi
B-283,Bui Tam Son,Binh nhi,Trung doan 3,16/11/1991,28/08/2022,Hau can,BinhSi
B-284,Hoang Duy Anh,Binh nhat,Trung doan 3,20/11/2002,05/02/2016,Canh gac,BinhSi
B-285,Tran Quang Mai,Binh nhat,Tieu doan 2,01/02/2000,01/09/2010,Truyen tin,BinhSi
B-286,Vo Duy Son,Binh nhi,Tieu doan 1,06/12/1994,19/10/2015,Truyen tin,BinhSi
B-287,Pham Minh Duc,Binh nhi,Trung doan 3,01/11/2001,10/06/2020,Truyen tin,BinhSi
B-288,Pham Tam Duc,Binh nhi,Trung doan 3,08/02/1994,16/02/2016,Van chuyen,BinhSi
B-289,Vo Thi Son,Binh nhat,Tieu doan 2,03/07/1991,16/08/2023,Van chuyen,BinhSi
B-290,Nguyen Thanh Hieu,Binh nhi,Tieu doan 2,19/11/2000,15/12/2014,Hau can,BinhSi
B-291,Pham Duy Duc,Binh nhat,Tieu doan 2,17/12/1999,16/10/2020,Canh gac,BinhSi
B-292,Do Quang Hieu,Binh nhi,Tieu doan 1,26/06/1994,11/12/2020,Hau can,BinhSi
B-293,Nguyen Quang Hieu,Binh nhat,Trung doan 3,22/01/2002,07/03/2019,Van chuyen,BinhSi
B-294,Ngo Son Lan,Binh nhat,Trung doan 3,02/02/1989,02/09/2012,Hau can,BinhSi
B-295,Bui Son Tu,Binh nhat,Trung doan 3,27/04/1996,09/05/2020,Truyen tin,BinhSi
B-296,Nguyen Duy Mai,Binh nhat,Trung doan 3,07/06/1987,08/03/2012,Truyen tin,BinhSi
B-297,Bui Thanh Tu,Binh nhi,Tieu doan 2,03/10/1988,07/06/2016,Van chuyen,BinhSi
B-298,Vo Phu Hieu,Binh nhi,Trung doan 3,23/08/1986,15/04/2010,Truyen tin,BinhSi
B-299,Tran Son Lan,Binh nhi,Trung doan 3,25/12/1988,04/03/2021,Canh gac,BinhSi
B-300,Dang Kien Hieu,Binh nhat,Tieu doan 1,20/04/2003,10/09/2021,Truyen tin,BinhSi
S-001,Le Kien Mai,Thieu uy,Trung doan 3,06/06/1987,22/09/2004,Tieu doan pho,SiQuan
S-002,Dang Phu Mai,Thieu uy,Tieu doan 1,08/08/1978,21/03/2002,Chinh tri vien,SiQuan
S-003,Le Thanh Quang,Trung uy,Tieu doan 2,18/06/1977,23/11/2015,Tieu doan pho,SiQuan
S-004,Bui Quang Anh,Thieu uy,Tieu doan 2,15/12/1981,26/09/2002,Dai doi truong,SiQuan
S-005,Do Tam Mai,Thieu uy,Tieu doan 1,02/03/1989,04/12/2007,Tham muu phu,SiQuan
S-006,Hoang Thi Anh,Thieu uy,Trung doan 3,17/10/1982,19/11/2006,Dai doi truong,SiQuan
S-007,Nguyen Duy Mai,Thieu uy,Trung doan 3,01/04/1987,14/08/2000,Tieu doan pho,SiQuan
S-008,Tran Phu Son,Thieu ta,Tieu doan 1,11/05/1988,04/11/2000,Chinh tri vien,SiQuan
S-009,Pham Tam Anh,Thieu ta,Tieu doan 2,09/01/1989,09/05/2015,Tham muu phu,SiQuan
S-010,Nguyen Tam Anh,Thieu uy,Tieu doan 1,01/08/1978,16/06/2008,Tham muu phu,SiQuan
S-011,Ngo Thanh Mai,Dai uy,Trung doan 3,14/03/1985,16/04/2014,Tieu doan pho,SiQuan
S-012,Vo Tam Lan,Trung uy,Tieu doan 2,15/06/1983,13/09/2011,Chinh tri vien,SiQuan
S-013,Ngo Thanh Quang,Dai uy,Tieu doan 1,24/11/1983,01/11/2012,Tham muu phu,SiQuan
S-014,Vo Thanh Son,Thieu uy,Trung doan 3,18/10/1976,23/02/2009,Tieu doan pho,SiQuan
S-015,Hoang Minh Duc,Thieu ta,Tieu doan 2,19/01/1981,24/03/2009,Tham muu phu,SiQuan
S-016,Bui Quang Hieu,Thieu uy,Tieu doan 1,22/02/1978,08/03/2005,Tham muu phu,SiQuan
S-017,Ngo Tam Lan,Trung uy,Tieu doan 2,20/02/1981,10/05/2011,Tham muu phu,SiQuan
S-018,Nguyen Son Tu,Thieu ta,Tieu doan 2,20/05/1987,27/04/2007,Tieu doan pho,SiQuan
S-019,Bui Phu Lan,Dai uy,Trung doan 3,15/12/1988,16/11/2014,Chinh tri vien,SiQuan
S-020,Nguyen Phu Mai,Thieu uy,Tieu doan 2,27/07/1984,27/07/2011,Tham muu phu,SiQuan
S-021,Dang Son Tu,Thieu uy,Trung doan 3,01/12/1979,24/07/2014,Chinh tri vien,SiQuan
S-022,Ngo Phu Mai,Thieu uy,Tieu doan 2,09/02/1990,23/01/2001,Tham muu phu,SiQuan
S-023,Bui Duy Duc,Trung uy,Tieu doan 1,06/05/1983,08/04/2013,Dai doi truong,SiQuan
S-024,Pham Thi Duc,Dai uy,Tieu doan 2,05/05/1980,10/01/2013,Chinh tri vien,SiQuan
S-025,Vo Kien Mai,Trung uy,Tieu doan 2,02/02/1987,01/03/2001,Chinh tri vien,SiQuan
S-026,Ngo Son Hieu,Trung uy,Tieu doan 1,17/03/1980,10/10/2007,Tieu doan pho,SiQuan
S-027,Do Tam Mai,Thieu uy,Trung doan 3,18/10/1979,07/09/2005,Chinh tri vien,SiQuan
S-028,Tran Thi Hieu,Thieu ta,Tieu doan 1,20/11/1976,15/11/2010,Dai doi truong,SiQuan
S-029,Hoang Kien Quang,Dai uy,Trung doan 3,26/03/1984,24/04/2005,Chinh tri vien,SiQuan
S-030,Bui Phu Quang,Thieu ta,Tieu doan 2,26/07/1985,03/12/2006,Chinh tri vien,SiQuan
S-031,Tran Kien Duc,Trung uy,Trung doan 3,06/06/1985,04/05/2005,Chinh tri vien,SiQuan
S-032,Vo Minh Anh,Dai uy,Trung doan 3,09/12/1984,26/04/2000,Chinh tri vien,SiQuan
S-033,Tran Thi Lan,Thieu uy,Trung doan 3,24/11/1982,08/05/2009,Tham muu phu,SiQuan
S-034,Pham Minh Quang,Thieu ta,Tieu doan 1,12/10/1983,01/04/2015,Tieu doan pho,SiQuan
S-035,Pham Duy Son,Thieu uy,Trung doan 3,06/08/1982,14/06/2011,Tham muu phu,SiQuan
S-036,Dang Thanh Lan,Trung uy,Tieu doan 1,24/02/1982,09/08/2014,Tham muu phu,SiQuan
S-037,Tran Kien Quang,Trung uy,Tieu doan 1,22/12/1976,08/09/2010,Tieu doan pho,SiQuan
S-038,Bui Quang Son,Trung uy,Tieu doan 2,06/02/1985,19/07/2015,Chinh tri vien,SiQuan
S-039,Vo Minh Anh,Thieu ta,Trung doan 3,16/06/1979,07/04/2008,Tieu doan pho,SiQuan
S-040,Tran Tam Mai,Thieu ta,Trung doan 3,05/01/1982,04/02/2005,Dai doi truong,SiQuan
S-041,Hoang Quang Lan,Thieu uy,Tieu doan 2,28/06/1976,08/12/2010,Chinh tri vien,SiQuan
S-042,Nguyen Anh Duc,Thieu uy,Trung doan 3,26/06/1986,12/01/2007,Tham muu phu,SiQuan
S-043,Tran Son Quang,Dai uy,Tieu doan 2,11/09/1988,07/02/2009,Tieu doan pho,SiQuan
S-044,Le Anh Mai,Thieu ta,Tieu doan 1,10/04/1979,25/04/2002,Tham muu phu,SiQuan
S-045,Bui Thi Tu,Thieu uy,Trung doan 3,18/12/1977,14/03/2005,Tham muu phu,SiQuan
S-046,Hoang Duy Hieu,Thieu ta,Trung doan 3,08/06/1982,11/02/2005,Dai doi truong,SiQuan
S-047,Hoang Anh Quang,Thieu uy,Tieu doan 1,15/07/1988,20/11/2015,Tham muu phu,SiQuan
S-048,Pham Phu Mai,Trung uy,Trung doan 3,21/10/1984,28/05/2005,Chinh tri vien,SiQuan
S-049,Hoang Phu Quang,Thieu uy,Tieu doan 1,20/08/1975,17/11/2012,Tham muu phu,SiQuan
S-050,Bui Thi Lan,Thieu uy,Tieu doan 1,06/03/1982,04/07/2008,Tham muu phu,SiQuan
S-051,Tran Quang Duc,Thieu ta,Trung doan 3,02/07/1975,19/01/2007,Tham muu phu,SiQuan
S-052,Pham Minh Quang,Thieu ta,Tieu doan 2,11/01/1976,07/01/2012,Tieu doan pho,SiQuan
S-053,Tran Tam Anh,Thieu ta,Trung doan 3,16/01/1980,21/10/2013,Chinh tri vien,SiQuan
S-054,Do Son Hieu,Thieu uy,Tieu doan 1,24/06/1983,04/04/2000,Tham muu phu,SiQuan
S-055,Pham Kien Son,Thieu ta,Tieu doan 1,11/04/1990,25/12/2001,Chinh tri vien,SiQuan
S-056,Bui Anh Mai,Thieu uy,Tieu doan 2,06/01/1981,22/06/2007,Tham muu phu,SiQuan
S-057,Tran Son Hieu,Thieu uy,Tieu doan 2,20/03/1988,16/12/2008,Tham muu phu,SiQuan
S-058,Vo Quang Duc,Thieu uy,Tieu doan 1,01/01/1979,19/08/2010,Dai doi truong,SiQuan
S-059,Le Thanh Duc,Dai uy,Trung doan 3,13/05/1981,10/06/2012,Tieu doan pho,SiQuan
S-060,Pham Tam Hieu,Thieu uy,Tieu doan 1,25/09/1978,23/04/2004,Tham muu phu,SiQuan
S-061,Do Thanh Hieu,Dai uy,Tieu doan 1,06/05/1977,05/02/2011,Dai doi truong,SiQuan
S-062,Bui Quang Anh,Thieu uy,Tieu doan 2,03/04/1982,12/06/2006,Tham muu phu,SiQuan
S-063,Bui Kien Quang,Thieu uy,Tieu doan 1,24/04/1975,13/07/2007,Tieu doan pho,SiQuan
S-064,Tran Duy Mai,Trung uy,Tieu doan 1,07/04/1980,10/01/2004,Tham muu phu,SiQuan
S-065,Ngo Quang Lan,Trung uy,Trung doan 3,26/09/1975,23/05/2006,Tieu doan pho,SiQuan
S-066,Dang Son Hieu,Thieu ta,Tieu doan 1,25/01/1985,11/09/2004,Chinh tri vien,SiQuan
S-067,Do Duy Tu,Thieu uy,Tieu doan 1,23/02/1983,09/02/2001,Tham muu phu,SiQuan
S-068,Ngo Duy Hieu,Dai uy,Tieu doan 1,23/09/1980,02/09/2004,Dai doi truong,SiQuan
S-069,Pham Duy Lan,Dai uy,Trung doan 3,11/06/1976,06/03/2007,Dai doi truong,SiQuan
S-070,Do Anh Hieu,Thieu ta,Tieu doan 1,16/07/1985,21/04/2002,Tieu doan pho,SiQuan
S-071,Le Kien Tu,Thieu uy,Tieu doan 1,07/05/1984,24/06/2009,Tieu doan pho,SiQuan
S-072,Dang Minh Mai,Thieu ta,Trung doan 3,20/02/1990,05/10/2003,Tham muu phu,SiQuan
S-073,Tran Phu Hieu,Dai uy,Tieu doan 1,04/04/1976,15/03/2013,Tieu doan pho,SiQuan
S-074,Do Thanh Son,Trung uy,Tieu doan 2,28/01/1976,18/10/2015,Tieu doan pho,SiQuan
S-075,Do Son Tu,Thieu uy,Tieu doan 1,13/12/1989,14/09/2013,Chinh tri vien,SiQuan
S-076,Do Thanh Mai,Dai uy,Tieu doan 2,05/11/1989,22/03/2001,Dai doi truong,SiQuan
S-077,Do Anh Tu,Dai uy,Tieu doan 2,16/02/1985,12/04/2008,Tham muu phu,SiQuan
S-078,Hoang Tam Anh,Dai uy,Tieu doan 2,11/11/1985,13/10/2010,Dai doi truong,SiQuan
S-079,Do Son Son,Dai uy,Tieu doan 1,19/10/1977,06/12/2014,Tieu doan pho,SiQuan
S-080,Pham Anh Quang,Thieu ta,Tieu doan 1,22/03/1987,05/12/2013,Chinh tri vien,SiQuan
S-081,Tran Anh Hieu,Thieu ta,Trung doan 3,10/02/1982,05/10/2006,Dai doi truong,SiQuan
S-082,Pham Kien Mai,Dai uy,Trung doan 3,18/02/1975,26/07/2002,Tieu doan pho,SiQuan
S-083,Pham Thanh Hieu,Dai uy,Tieu doan 1,01/06/1990,03/11/2009,Tieu doan pho,SiQuan
S-084,Ngo Phu Mai,Thieu ta,Trung doan 3,28/12/1980,28/04/2006,Dai doi truong,SiQuan
S-085,Le Son Anh,Thieu ta,Tieu doan 2,08/08/1979,15/11/2006,Dai doi truong,SiQuan
S-086,Le Son Quang,Thieu uy,Trung doan 3,24/11/1990,22/08/2007,Dai doi truong,SiQuan
S-087,Ngo Quang Tu,Dai uy,Tieu doan 2,13/07/1977,03/08/2014,Tieu doan pho,SiQuan
S-088,Bui Son Duc,Thieu ta,Tieu doan 1,19/03/1979,07/04/2010,Tieu doan pho,SiQuan
S-089,Hoang Thanh Son,Thieu uy,Trung doan 3,18/06/1986,28/10/2008,Tieu doan pho,SiQuan
S-090,Vo Quang Son,Thieu ta,Tieu doan 1,17/01/1975,13/03/2006,Tham muu phu,SiQuan
S-091,Pham Thi Lan,Dai uy,Tieu doan 2,06/08/1980,06/12/2013,Dai doi truong,SiQuan
S-092,Vo Kien Duc,Dai uy,Trung doan 3,19/05/1978,21/02/2008,Tham muu phu,SiQuan
S-093,Nguyen Son Son,Thieu ta,Trung doan 3,27/07/1983,11/10/2010,Tham muu phu,SiQuan
S-094,Tran Thanh Anh,Dai uy,Tieu doan 1,16/01/1975,27/09/2000,Chinh tri vien,SiQuan
S-095,Nguyen Duy Son,Trung uy,Trung doan 3,04/12/1978,03/03/2003,Tieu doan pho,SiQuan
S-096,Pham Duy Anh,Trung uy,Trung doan 3,26/06/1989,08/07/2001,Chinh tri vien,SiQuan
S-097,Nguyen Phu Anh,Dai uy,Trung doan 3,14/12/1980,27/10/2012,Dai doi truong,SiQuan
S-098,Dang Anh Hieu,Thieu ta,Tieu doan 1,07/12/1984,05/04/2003,Tham muu phu,SiQuan
S-099,Bui Thi Lan,Trung uy,Tieu doan 2,01/06/1981,17/11/2000,Dai doi truong,SiQuan
S-100,Hoang Kien Anh,Trung uy,Tieu doan 1,06/08/1975,11/02/2002,Tieu doan pho,SiQuan
